method;seed;energy_efficiency_gb_per_j;link_failures;total_handovers;pingpong_handovers
QACM;47146;0.09384501145571876;1;88787;59899
NC;47242;0.026800807985441877;0;95879;63469
SBD;47243;0.2103423845620077;0;102817;68102
P-ES;47244;0.09042203839435162;1;93716;61129
P-MRO;47245;0.022957745945718144;0;92736;61092
QACM;47246;0.0879308386084144;0;91557;60081
NC;47442;0.025809792208128367;0;92273;59872
SBD;47443;0.20259570734008694;0;92836;62622
P-ES;47444;0.09650267727745208;1;79719;54417
P-MRO;47445;0.02199269983645378;0;89544;59952
QACM;47446;0.09831114167066526;0;85555;58029
NC;47342;0.023844164691249756;1;107374;70731
SBD;47343;0.19756378570170116;0;86247;57864
P-ES;47344;0.09829840964953063;0;93537;60593
P-MRO;47345;0.02332287425823916;0;93523;61196
QACM;47346;0.0936563652681562;1;92518;60199
NC;47542;0.02930755945436579;0;90947;61170
SBD;47543;0.19892503603941283;0;93386;62517
P-ES;47544;0.09058898789737987;2;88596;59758
P-MRO;47545;0.02031291095264094;0;84209;56403
QACM;47546;0.09689873529882079;1;95046;61146
NC;47642;0.026118037178314197;0;86689;57864
SBD;47643;0.2182994551308478;0;84102;55807
P-ES;47644;0.0990307851496899;0;88708;60038
P-MRO;47645;0.024676405365639704;0;91576;60643
QACM;47646;0.10421804335593746;0;90865;59659
NC;47742;0.02809180430186567;0;96093;65595
SBD;47743;0.20733745536501336;0;91292;60199
P-ES;47744;0.10204057888242256;0;93215;62431
P-MRO;47745;0.02186651593280354;0;97826;66906
QACM;47746;0.10345031126629614;0;89708;59666
NC;47842;0.02501786379340223;0;95284;63774
SBD;47843;0.1896704888716695;0;85167;56478
P-ES;47844;0.09466895619545733;0;90266;59618
P-MRO;47845;0.022540354157574917;0;93097;61867
QACM;47846;0.10259541107639315;2;90566;60453
NC;47942;0.026256738875745894;0;93693;62287
SBD;47943;0.20282150522805567;0;96316;63487
P-ES;47944;0.09347706245485979;1;94025;63098
P-MRO;47945;0.023648155210360823;0;102748;68108
QACM;47946;0.09512329935713246;1;85805;56878
NC;48042;0.02912367891333387;1;92903;64048
SBD;48043;0.20150356447723994;0;85158;58296
P-ES;48044;0.07818281571862767;1;90433;57852
P-MRO;48045;0.021999498227819946;0;102908;65968
QACM;48046;0.09497064901815498;1;92735;59658
NC;48142;0.02554102374787067;0;88192;59258
SBD;48143;0.21465019953697506;0;97041;64322
P-ES;48144;0.0931079122603749;1;96686;62151
P-MRO;48145;0.021953063903712246;0;89558;59904
QACM;48146;0.09422257012322921;0;94574;62729
NC;48342;0.02851935230393655;0;89266;60628
SBD;48343;0.20797397497960501;0;95485;63059
P-ES;48344;0.09462006209660974;1;98580;68597
P-MRO;48345;0.019480546877981505;0;97830;64015
QACM;48346;0.08809572846343089;0;89970;62378
NC;48242;0.02495477338995983;0;99586;64578
SBD;48243;0.2017253336373249;0;98580;66109
P-ES;48244;0.09997256813123676;0;92100;62520
P-MRO;48245;0.02077847946397083;0;92735;63329
QACM;48246;0.09208143536392915;1;95632;64829
NC;48442;0.026584168376667237;1;97085;65866
SBD;48443;0.20221047058015035;0;103729;70260
P-ES;48444;0.09486749517202693;1;88163;58728
P-MRO;48445;0.02372433826448768;0;90045;60042
QACM;48446;0.09769207139513698;1;94605;62746
NC;48542;0.02665476423175227;2;97338;63611
SBD;48543;0.20338862516218342;0;96190;64935
P-ES;48544;0.09510127266637233;0;92911;59679
P-MRO;48545;0.02297917980790872;0;91503;59667
QACM;48546;0.1123094073751494;0;89453;59098
NC;48642;0.026672745750570506;0;91055;61380
SBD;48643;0.20267187893356373;0;82074;53524
P-ES;48644;0.09140533761992263;2;93217;61532
P-MRO;48645;0.022567324911763893;0;90123;59041
QACM;48646;0.10116225736623859;0;88036;60402
NC;48742;0.027463842022703466;0;90566;60514
SBD;48743;0.23918086384417417;0;90031;59139
P-ES;48744;0.09113897004997143;0;87136;59405
P-MRO;48745;0.019539961495851285;0;93764;61710
QACM;48746;0.10151556146311826;0;96331;65101
NC;48842;0.0289287746605431;0;89771;57461
SBD;48843;0.2108901599838851;0;90615;59507
P-ES;48844;0.09620635248269374;0;100159;64577
P-MRO;48845;0.02312667040576357;0;98101;63366
QACM;48846;0.09452880130830599;0;97416;63682
NC;48942;0.026869973774080763;0;95980;62759
SBD;48943;0.1856570568422983;0;98923;64175
P-ES;48944;0.09021203583680555;0;101599;65603
P-MRO;48945;0.023083164095931523;0;89080;60595
QACM;48946;0.08927372041259339;1;94135;65026
NC;49042;0.024396570306508592;0;99828;66724
SBD;49043;0.1923642921414838;0;89229;59419
P-ES;49044;0.09705419519119173;1;79457;53987
P-MRO;49045;0.018558178473864023;0;95034;62299
QACM;49046;0.0999915513982326;0;99489;67908
NC;49142;0.028124413885855237;0;88144;59134
SBD;49143;0.18822567233400217;0;95120;64750
P-ES;49144;0.08581898668332116;1;85663;57573
P-MRO;49145;0.0202887552710815;0;83216;57123
QACM;49146;0.08838563753106377;1;92585;62744
NC;49342;0.024266992029444063;1;97562;63628
SBD;49343;0.1887033217570913;0;100605;63187
P-ES;49344;0.1053315612084895;1;91229;59281
P-MRO;49345;0.020490324123579245;0;91645;62348
QACM;49346;0.09655281472818278;0;92540;59616
NC;49242;0.02651115918550136;0;85637;57045
SBD;49243;0.21562840178663625;0;99327;66227
