time,current bs,availability,cio,hyst,ttt
550.0,6,1.0,0.0,1.0,0.08
551.0,6,1.0,0.0,1.0,0.08
552.0,6,1.0,0.0,1.0,0.08
553.0,6,1.0,0.0,1.0,0.08
554.0,6,1.0,0.0,1.0,0.08
555.0,6,1.0,0.0,1.0,0.08
556.0,6,1.0,0.0,1.0,0.08
557.0,6,1.0,0.0,1.0,0.08
558.0,6,1.0,0.0,1.0,0.08
559.0,6,1.0,0.0,1.0,0.08
560.0,6,1.0,0.0,1.0,0.08
561.0,6,1.0,0.0,1.0,0.08
562.0,6,1.0,0.0,1.0,0.08
563.0,6,1.0,0.0,1.0,0.08
564.0,6,1.0,0.0,1.0,0.08
565.0,6,1.0,0.0,1.0,0.08
566.0,6,1.0,0.0,1.0,0.08
567.0,6,1.0,0.0,1.0,0.08
568.0,6,1.0,0.0,1.0,0.08
569.0,6,1.0,0.0,1.0,0.08
570.0,6,1.0,0.0,1.0,0.08
571.0,6,1.0,0.0,1.0,0.08
572.0,6,1.0,0.0,1.0,0.08
573.0,6,1.0,0.0,1.0,0.08
574.0,6,1.0,0.0,1.0,0.08
575.0,6,1.0,0.0,1.0,0.08
576.0,6,1.0,0.0,1.0,0.08
577.0,6,1.0,0.0,1.0,0.08
578.0,6,1.0,0.0,1.0,0.08
579.0,6,1.0,0.0,1.0,0.08
580.0,6,1.0,0.0,1.0,0.08
581.0,6,1.0,0.0,1.0,0.08
582.0,6,1.0,0.0,1.0,0.08
583.0,6,1.0,0.0,1.0,0.08
584.0,6,1.0,0.0,1.0,0.08
585.0,6,1.0,0.0,1.0,0.08
586.0,6,1.0,0.0,1.0,0.08
587.0,6,1.0,0.0,1.0,0.08
588.0,6,1.0,0.0,1.0,0.08
589.0,6,1.0,0.0,1.0,0.08
590.0,6,1.0,0.0,1.0,0.08
591.0,6,1.0,0.0,1.0,0.08
592.0,6,1.0,0.0,1.0,0.08
593.0,6,1.0,0.0,1.0,0.08
594.0,6,1.0,0.0,1.0,0.08
595.0,6,1.0,0.0,1.0,0.08
596.0,6,1.0,0.0,1.0,0.08
597.0,6,1.0,0.0,1.0,0.08
598.0,6,1.0,0.0,1.0,0.08
599.0,6,1.0,0.0,1.0,0.08
600.0,6,1.0,0.0,1.0,0.08
601.0,6,1.0,0.0,1.0,0.08
602.0,6,1.0,0.0,1.0,0.08
603.0,6,1.0,0.0,1.0,0.08
604.0,6,1.0,0.0,1.0,0.08
605.0,6,1.0,0.0,1.0,0.08
606.0,6,1.0,0.0,1.0,0.08
607.0,6,1.0,0.0,1.0,0.08
608.0,6,1.0,0.0,1.0,0.08
609.0,6,1.0,0.0,1.0,0.08
610.0,6,1.0,0.0,1.0,0.08
611.0,6,1.0,0.0,1.0,0.08
612.0,6,1.0,0.0,1.0,0.08
613.0,6,1.0,0.0,1.0,0.08
614.0,6,1.0,0.0,1.0,0.08
615.0,6,1.0,0.0,1.0,0.08
616.0,6,1.0,0.0,1.0,0.08
617.0,6,1.0,0.0,1.0,0.08
618.0,6,1.0,0.0,1.0,0.08
619.0,6,1.0,0.0,1.0,0.08
620.0,6,1.0,0.0,1.0,0.08
621.0,6,1.0,0.0,1.0,0.08
